outcome_type,variable,coeficiente,error_estandar,valor_p,radius_size,years_offset
tasas,min,-0.0000079,0.0000040,0.0469459,50,1.5
total,min,-0.1225416,0.0638084,0.0547997,50,1.5
tasas,total,-0.0000082,0.0000057,0.1481709,50,1.5
total,total,-0.1296364,0.0908835,0.1537524,50,1.5
tasas,pic,0.0000091,0.0000071,0.1985435,250,1
tasas,fcs,-0.0000004,0.0000003,0.1884513,37.5,1
tasas,min,-0.0000044,0.0000042,0.2916792,50,1
total,fcs,-0.0063230,0.0048653,0.1937368,37.5,1
total,pic,0.1426190,0.1131494,0.2075075,250,1
total,pic,0.1576421,0.1456051,0.2789556,250,0.5
tasas,pic,0.0000099,0.0000091,0.2784170,250,0.5
total,min,-0.0683297,0.0669256,0.3072639,50,1
tasas,fcs,0.0000006,0.0000005,0.2080766,100,0.5
tasas,total,0.0000149,0.0000145,0.3024830,250,1
total,total,0.2361508,0.2318863,0.3084925,250,1
total,fcs,0.0095831,0.0079168,0.2260991,100,0.5
tasas,fcs,-0.0000005,0.0000004,0.2671425,37.5,0.5
tasas,min,-0.0000046,0.0000052,0.3718109,50,0.5
total,fcs,-0.0071500,0.0066235,0.2803672,37.5,0.5
tasas,total,0.0000085,0.0000093,0.3592426,150,1
total,total,0.1358947,0.1487543,0.3609523,150,1
total,min,0.1043509,0.1048083,0.3194272,150,1
tasas,min,0.0000065,0.0000065,0.3179518,150,1
tasas,total,0.0000144,0.0000181,0.4266864,250,0.5
total,min,-0.0700021,0.0823802,0.3954670,50,0.5
total,total,0.2271505,0.2899908,0.4334495,250,0.5
total,pic,-0.0750494,0.0893220,0.4007897,100,0.5
total,min,-0.1382623,0.1548353,0.3718764,250,1.5
tasas,min,-0.0000085,0.0000097,0.3775005,250,1.5
tasas,pic,-0.0000044,0.0000056,0.4341558,100,0.5
total,pic,0.0936369,0.1020131,0.3586762,250,1.5
total,pic,0.0354494,0.0426934,0.4063546,37.5,1.5
tasas,pic,0.0000058,0.0000064,0.3631141,250,1.5
