radius_m,outcome,specification,fixed_effects,variable,coef,se,p_value,stars,n_obs,r_squared
75,total,sin_efectos_fijos,no,Intersección,1.198,0.02957,0.0,***,,
75,total,sin_efectos_fijos,no,Tratamiento,0.07272,0.04274,0.08883,*,,
75,total,sin_efectos_fijos,no,Tiempo,-0.2396,0.03924,0.0,***,,
75,total,sin_efectos_fijos,no,Tratamiento x Tiempo,0.01176,0.05657,0.83537,,,
75,total,con_efectos_fijos,yes,Tratamiento x Tiempo,0.01176,0.05657,0.89208,,,
100,total,sin_efectos_fijos,no,Intersección,1.444,0.03077,0.0,***,,
100,total,sin_efectos_fijos,no,Tratamiento,0.07409,0.04541,0.10272,,,
100,total,sin_efectos_fijos,no,Tiempo,-0.2816,0.04143,0.0,***,,
100,total,sin_efectos_fijos,no,Tratamiento x Tiempo,0.03083,0.0606,0.61086,,,
100,total,con_efectos_fijos,yes,Tratamiento x Tiempo,0.03083,0.0606,0.7196,,,
200,total,sin_efectos_fijos,no,Intersección,2.393,0.04493,0.0,***,,
200,total,sin_efectos_fijos,no,Tratamiento,0.06758,0.06408,0.29161,,,
200,total,sin_efectos_fijos,no,Tiempo,-0.4301,0.0592,0.0,***,,
200,total,sin_efectos_fijos,no,Tratamiento x Tiempo,0.04,0.08498,0.63785,,,
200,total,con_efectos_fijos,yes,Tratamiento x Tiempo,0.04,0.08498,0.73479,,,
75,rate,sin_efectos_fijos,no,Intersección,7.506e-05,1.851e-06,0.0,***,,
75,rate,sin_efectos_fijos,no,Tratamiento,4.44e-06,2.67e-06,0.09628,*,,
75,rate,sin_efectos_fijos,no,Tiempo,-8.066e-06,2.584e-06,0.0018,***,,
75,rate,sin_efectos_fijos,no,Tratamiento x Tiempo,1.325e-06,3.714e-06,0.72131,,,
75,rate,con_efectos_fijos,yes,Tratamiento x Tiempo,1.325e-06,3.714e-06,0.80033,,,
100,rate,sin_efectos_fijos,no,Intersección,9.033e-05,1.915e-06,0.0,***,,
100,rate,sin_efectos_fijos,no,Tratamiento,4.685e-06,2.83e-06,0.09781,*,,
100,rate,sin_efectos_fijos,no,Tiempo,-8.952e-06,2.731e-06,0.00104,***,,
100,rate,sin_efectos_fijos,no,Tratamiento x Tiempo,2.23e-06,3.979e-06,0.57517,,,
100,rate,con_efectos_fijos,yes,Tratamiento x Tiempo,2.23e-06,3.979e-06,0.67086,,,
200,rate,sin_efectos_fijos,no,Intersección,0.0001499,2.81e-06,0.0,***,,
200,rate,sin_efectos_fijos,no,Tratamiento,4.226e-06,4.003e-06,0.29113,,,
200,rate,sin_efectos_fijos,no,Tiempo,-1.336e-05,3.85e-06,0.00052,***,,
200,rate,sin_efectos_fijos,no,Tratamiento x Tiempo,3.353e-06,5.53e-06,0.54431,,,
200,rate,con_efectos_fijos,yes,Tratamiento x Tiempo,3.353e-06,5.53e-06,0.64026,,,
300,total,sin_efectos_fijos,no,Intersección,3.177,0.05009,0.0,***,,
300,total,sin_efectos_fijos,no,Tratamiento,-0.02077,0.07143,0.77125,,,
300,total,sin_efectos_fijos,no,Tiempo,-0.5018,0.0664,0.0,***,,
300,total,sin_efectos_fijos,no,Tratamiento x Tiempo,0.05673,0.09567,0.55317,,,
300,total,con_efectos_fijos,yes,Tratamiento x Tiempo,0.05673,0.09567,0.67016,,,
400,total,sin_efectos_fijos,no,Intersección,4.321,0.06241,0.0,***,,
400,total,sin_efectos_fijos,no,Tratamiento,-0.03173,0.08744,0.71672,,,
400,total,sin_efectos_fijos,no,Tiempo,-0.7097,0.08391,0.0,***,,
400,total,sin_efectos_fijos,no,Tratamiento x Tiempo,0.09694,0.1177,0.41033,,,
400,total,con_efectos_fijos,yes,Tratamiento x Tiempo,0.09694,0.1177,0.54897,,,
500,total,sin_efectos_fijos,no,Intersección,5.578,0.07597,0.0,***,,
500,total,sin_efectos_fijos,no,Tratamiento,0.06564,0.1088,0.54617,,,
500,total,sin_efectos_fijos,no,Tiempo,-0.9264,0.09957,0.0,***,,
500,total,sin_efectos_fijos,no,Tratamiento x Tiempo,0.1619,0.1443,0.2621,,,
500,total,con_efectos_fijos,yes,Tratamiento x Tiempo,0.1619,0.1443,0.40962,,,
300,rate,sin_efectos_fijos,no,Intersección,0.000199,3.135e-06,0.0,***,,
300,rate,sin_efectos_fijos,no,Tratamiento,-1.37e-06,4.464e-06,0.75894,,,
300,rate,sin_efectos_fijos,no,Tiempo,-1.292e-05,4.326e-06,0.00282,***,,
300,rate,sin_efectos_fijos,no,Tratamiento x Tiempo,3.784e-06,6.228e-06,0.54343,,,
300,rate,con_efectos_fijos,yes,Tratamiento x Tiempo,3.784e-06,6.228e-06,0.63869,,,
400,rate,sin_efectos_fijos,no,Intersección,0.0002707,3.9e-06,0.0,***,,
400,rate,sin_efectos_fijos,no,Tratamiento,-2.133e-06,5.456e-06,0.69588,,,
400,rate,sin_efectos_fijos,no,Tiempo,-1.914e-05,5.457e-06,0.00045,***,,
400,rate,sin_efectos_fijos,no,Tratamiento x Tiempo,6.438e-06,7.652e-06,0.40014,,,
400,rate,con_efectos_fijos,yes,Tratamiento x Tiempo,6.438e-06,7.652e-06,0.51591,,,
500,rate,sin_efectos_fijos,no,Intersección,0.0003494,4.744e-06,0.0,***,,
500,rate,sin_efectos_fijos,no,Tratamiento,4.115e-06,6.784e-06,0.54415,,,
500,rate,sin_efectos_fijos,no,Tiempo,-2.484e-05,6.458e-06,0.00012,***,,
500,rate,sin_efectos_fijos,no,Tratamiento x Tiempo,1.049e-05,9.346e-06,0.26166,,,
500,rate,con_efectos_fijos,yes,Tratamiento x Tiempo,1.049e-05,9.346e-06,0.36282,,,
