radius_m,outcome,specification,fixed_effects,variable,coef,se,p_value,stars,n_obs,r_squared
75,total,sin_efectos_fijos,no,Intersección,0.008916,0.001569,0.0,***,,
75,total,sin_efectos_fijos,no,Tratamiento,0.0008359,0.00227,0.71274,,,
75,total,sin_efectos_fijos,no,Tiempo,-0.00233,0.002083,0.26329,,,
75,total,sin_efectos_fijos,no,Tratamiento x Tiempo,-0.001695,0.002943,0.56462,,,
75,total,con_efectos_fijos,yes,Tratamiento x Tiempo,-0.001695,0.002943,0.61844,,,
75,rate,sin_efectos_fijos,no,Intersección,5.618e-07,9.9e-08,0.0,***,,
75,rate,sin_efectos_fijos,no,Tratamiento,4.78e-08,1.426e-07,0.73761,,,
75,rate,sin_efectos_fijos,no,Tiempo,-1.009e-07,1.386e-07,0.46688,,,
75,rate,sin_efectos_fijos,no,Tratamiento x Tiempo,-8.88e-08,1.972e-07,0.65237,,,
75,rate,con_efectos_fijos,yes,Tratamiento x Tiempo,-8.88e-08,1.972e-07,0.69243,,,
100,total,sin_efectos_fijos,no,Intersección,0.008446,0.001536,0.0,***,,
100,total,sin_efectos_fijos,no,Tratamiento,0.0009424,0.002237,0.67358,,,
100,total,sin_efectos_fijos,no,Tiempo,-0.003527,0.001943,0.06949,*,,
100,total,sin_efectos_fijos,no,Tratamiento x Tiempo,0.002326,0.002966,0.43295,,,
100,total,con_efectos_fijos,yes,Tratamiento x Tiempo,0.002326,0.002966,0.46635,,,
100,rate,sin_efectos_fijos,no,Intersección,5.355e-07,9.75e-08,0.0,***,,
100,rate,sin_efectos_fijos,no,Tratamiento,5.54e-08,1.415e-07,0.69521,,,
100,rate,sin_efectos_fijos,no,Tiempo,-1.652e-07,1.34e-07,0.21745,,,
100,rate,sin_efectos_fijos,no,Tratamiento x Tiempo,1.697e-07,2.035e-07,0.40433,,,
100,rate,con_efectos_fijos,yes,Tratamiento x Tiempo,1.697e-07,2.035e-07,0.45125,,,
200,total,sin_efectos_fijos,no,Intersección,0.01517,0.00203,0.0,***,,
200,total,sin_efectos_fijos,no,Tratamiento,0.002385,0.002988,0.42466,,,
200,total,sin_efectos_fijos,no,Tiempo,-0.006665,0.002552,0.009,***,,
200,total,sin_efectos_fijos,no,Tratamiento x Tiempo,0.001711,0.003858,0.6573,,,
200,total,con_efectos_fijos,yes,Tratamiento x Tiempo,0.001711,0.003858,0.73103,,,
200,rate,sin_efectos_fijos,no,Intersección,9.542e-07,1.279e-07,0.0,***,,
200,rate,sin_efectos_fijos,no,Tratamiento,1.505e-07,1.882e-07,0.42394,,,
200,rate,sin_efectos_fijos,no,Tiempo,-3.715e-07,1.669e-07,0.02601,**,,
200,rate,sin_efectos_fijos,no,Tratamiento x Tiempo,1.715e-07,2.566e-07,0.50376,,,
200,rate,con_efectos_fijos,yes,Tratamiento x Tiempo,1.715e-07,2.566e-07,0.6039,,,
300,total,sin_efectos_fijos,no,Intersección,0.02048,0.00239,0.0,***,,
300,total,sin_efectos_fijos,no,Tratamiento,0.001422,0.003436,0.67889,,,
300,total,sin_efectos_fijos,no,Tiempo,-0.006156,0.003137,0.04971,**,,
300,total,sin_efectos_fijos,no,Tratamiento x Tiempo,3.951e-05,0.004545,0.99306,,,
300,total,con_efectos_fijos,yes,Tratamiento x Tiempo,3.951e-05,0.004545,0.99442,,,
300,rate,sin_efectos_fijos,no,Intersección,1.296e-06,1.514e-07,0.0,***,,
300,rate,sin_efectos_fijos,no,Tratamiento,7.85e-08,2.168e-07,0.71737,,,
300,rate,sin_efectos_fijos,no,Tiempo,-2.773e-07,2.109e-07,0.18853,,,
300,rate,sin_efectos_fijos,no,Tratamiento x Tiempo,2.27e-08,3.046e-07,0.94048,,,
300,rate,con_efectos_fijos,yes,Tratamiento x Tiempo,2.27e-08,3.046e-07,0.95162,,,
400,total,sin_efectos_fijos,no,Intersección,0.02233,0.002567,0.0,***,,
400,total,sin_efectos_fijos,no,Tratamiento,0.0047,0.003806,0.21686,,,
400,total,sin_efectos_fijos,no,Tiempo,-0.002097,0.003622,0.5626,,,
400,total,sin_efectos_fijos,no,Tratamiento x Tiempo,-0.007418,0.005138,0.14882,,,
400,total,con_efectos_fijos,yes,Tratamiento x Tiempo,-0.007418,0.005138,0.22228,,,
400,rate,sin_efectos_fijos,no,Intersección,1.404e-06,1.619e-07,0.0,***,,
400,rate,sin_efectos_fijos,no,Tratamiento,2.862e-07,2.391e-07,0.2313,,,
400,rate,sin_efectos_fijos,no,Tiempo,9.2e-09,2.425e-07,0.9696,,,
400,rate,sin_efectos_fijos,no,Tratamiento x Tiempo,-4.579e-07,3.426e-07,0.18132,,,
400,rate,con_efectos_fijos,yes,Tratamiento x Tiempo,-4.579e-07,3.426e-07,0.26411,,,
500,total,sin_efectos_fijos,no,Intersección,0.02574,0.002877,0.0,***,,
500,total,sin_efectos_fijos,no,Tratamiento,0.009653,0.004413,0.02872,**,,
500,total,sin_efectos_fijos,no,Tiempo,-0.004245,0.003931,0.28019,,,
500,total,sin_efectos_fijos,no,Tratamiento x Tiempo,-0.007338,0.005879,0.21195,,,
500,total,con_efectos_fijos,yes,Tratamiento x Tiempo,-0.007338,0.005879,0.29618,,,
500,rate,sin_efectos_fijos,no,Intersección,1.589e-06,1.779e-07,0.0,***,,
500,rate,sin_efectos_fijos,no,Tratamiento,6.193e-07,2.745e-07,0.02406,**,,
500,rate,sin_efectos_fijos,no,Tiempo,-6.96e-08,2.617e-07,0.79039,,,
500,rate,sin_efectos_fijos,no,Tratamiento x Tiempo,-4.45e-07,3.916e-07,0.25574,,,
500,rate,con_efectos_fijos,yes,Tratamiento x Tiempo,-4.45e-07,3.916e-07,0.33957,,,
