radius_m,outcome,specification,fixed_effects,variable,coef,se,p_value,stars,n_obs,r_squared
75,total,sin_efectos_fijos,no,Intersección,0.7189,0.0209,0.0,***,,
75,total,sin_efectos_fijos,no,Tratamiento,0.0248,0.03025,0.41239,,,
75,total,sin_efectos_fijos,no,Tiempo,-0.2567,0.02626,0.0,***,,
75,total,sin_efectos_fijos,no,Tratamiento x Tiempo,-0.004466,0.03775,0.90584,,,
75,total,con_efectos_fijos,yes,Tratamiento x Tiempo,-0.004466,0.03775,0.94628,,,
75,rate,sin_efectos_fijos,no,Intersección,4.502e-05,1.308e-06,0.0,***,,
75,rate,sin_efectos_fijos,no,Tratamiento,1.466e-06,1.888e-06,0.43733,,,
75,rate,sin_efectos_fijos,no,Tiempo,-1.295e-05,1.71e-06,0.0,***,,
75,rate,sin_efectos_fijos,no,Tratamiento x Tiempo,-2.021e-07,2.446e-06,0.93415,,,
75,rate,con_efectos_fijos,yes,Tratamiento x Tiempo,-2.021e-07,2.446e-06,0.95886,,,
100,total,sin_efectos_fijos,no,Intersección,0.8226,0.02122,0.0,***,,
100,total,sin_efectos_fijos,no,Tratamiento,0.07608,0.0319,0.01706,**,,
100,total,sin_efectos_fijos,no,Tiempo,-0.2732,0.02712,0.0,***,,
100,total,sin_efectos_fijos,no,Tratamiento x Tiempo,-0.03053,0.04031,0.44872,,,
100,total,con_efectos_fijos,yes,Tratamiento x Tiempo,-0.03053,0.04031,0.64743,,,
100,rate,sin_efectos_fijos,no,Intersección,5.15e-05,1.325e-06,0.0,***,,
100,rate,sin_efectos_fijos,no,Tratamiento,4.703e-06,1.988e-06,0.01799,**,,
100,rate,sin_efectos_fijos,no,Tiempo,-1.36e-05,1.757e-06,0.0,***,,
100,rate,sin_efectos_fijos,no,Tratamiento x Tiempo,-1.6e-06,2.602e-06,0.53854,,,
100,rate,con_efectos_fijos,yes,Tratamiento x Tiempo,-1.6e-06,2.602e-06,0.68426,,,
200,total,sin_efectos_fijos,no,Intersección,1.422,0.03122,0.0,***,,
200,total,sin_efectos_fijos,no,Tratamiento,0.01494,0.04434,0.73619,,,
200,total,sin_efectos_fijos,no,Tiempo,-0.4905,0.03865,0.0,***,,
200,total,sin_efectos_fijos,no,Tratamiento x Tiempo,0.0213,0.05523,0.69981,,,
200,total,con_efectos_fijos,yes,Tratamiento x Tiempo,0.0213,0.05523,0.81306,,,
200,rate,sin_efectos_fijos,no,Intersección,8.899e-05,1.951e-06,0.0,***,,
200,rate,sin_efectos_fijos,no,Tratamiento,9.856e-07,2.768e-06,0.72176,,,
200,rate,sin_efectos_fijos,no,Tiempo,-2.497e-05,2.485e-06,0.0,***,,
