radius_m,outcome,specification,fixed_effects,variable,coef,se,p_value,stars,n_obs,r_squared
75,total,sin_efectos_fijos,no,Intersección,0.47,0.01491,0.0,***,,
75,total,sin_efectos_fijos,no,Tratamiento,0.04709,0.02131,0.02711,**,,
75,total,sin_efectos_fijos,no,Tiempo,0.01936,0.02165,0.37119,,,
75,total,sin_efectos_fijos,no,Tratamiento x Tiempo,0.01792,0.03115,0.56511,,,
75,total,con_efectos_fijos,yes,Tratamiento x Tiempo,0.01792,0.03115,0.60778,,,
75,rate,sin_efectos_fijos,no,Intersección,2.947e-05,9.349e-07,0.0,***,,
75,rate,sin_efectos_fijos,no,Tratamiento,2.926e-06,1.336e-06,0.02848,**,,
75,rate,sin_efectos_fijos,no,Tiempo,4.987e-06,1.457e-06,0.00062,***,,
75,rate,sin_efectos_fijos,no,Tratamiento x Tiempo,1.616e-06,2.097e-06,0.441,,,
75,rate,con_efectos_fijos,yes,Tratamiento x Tiempo,1.616e-06,2.097e-06,0.5176,,,
100,total,sin_efectos_fijos,no,Intersección,0.6132,0.01632,0.0,***,,
100,total,sin_efectos_fijos,no,Tratamiento,-0.002934,0.02342,0.90029,,,
100,total,sin_efectos_fijos,no,Tiempo,-0.004958,0.02388,0.8355,,,
100,total,sin_efectos_fijos,no,Tratamiento x Tiempo,0.05904,0.03424,0.08466,*,,
100,total,con_efectos_fijos,yes,Tratamiento x Tiempo,0.05904,0.03424,0.1273,,,
100,rate,sin_efectos_fijos,no,Intersección,3.83e-05,1.015e-06,0.0,***,,
100,rate,sin_efectos_fijos,no,Tratamiento,-7.27e-08,1.464e-06,0.96039,,,
100,rate,sin_efectos_fijos,no,Tiempo,4.808e-06,1.614e-06,0.00289,***,,
100,rate,sin_efectos_fijos,no,Tratamiento x Tiempo,3.66e-06,2.312e-06,0.11332,,,
100,rate,con_efectos_fijos,yes,Tratamiento x Tiempo,3.66e-06,2.312e-06,0.19369,,,
200,total,sin_efectos_fijos,no,Intersección,0.9559,0.02194,0.0,***,,
200,total,sin_efectos_fijos,no,Tratamiento,0.05026,0.03139,0.10943,,,
200,total,sin_efectos_fijos,no,Tiempo,0.06708,0.03243,0.03858,**,,
200,total,sin_efectos_fijos,no,Tratamiento x Tiempo,0.01699,0.04648,0.71468,,,
200,total,con_efectos_fijos,yes,Tratamiento x Tiempo,0.01699,0.04648,0.74491,,,
200,rate,sin_efectos_fijos,no,Intersección,5.992e-05,1.379e-06,0.0,***,,
200,rate,sin_efectos_fijos,no,Tratamiento,3.09e-06,1.971e-06,0.11696,,,
200,rate,sin_efectos_fijos,no,Tiempo,1.198e-05,2.172e-06,0.0,***,,
200,rate,sin_efectos_fijos,no,Tratamiento x Tiempo,1.506e-06,3.111e-06,0.6283,,,
200,rate,con_efectos_fijos,yes,Tratamiento x Tiempo,1.506e-06,3.111e-06,0.69315,,,
300,total,sin_efectos_fijos,no,Intersección,1.262,0.02473,0.0,***,,
300,total,sin_efectos_fijos,no,Tratamiento,0.007966,0.03493,0.8196,,,
300,total,sin_efectos_fijos,no,Tiempo,0.1026,0.03606,0.00443,***,,
300,total,sin_efectos_fijos,no,Tratamiento x Tiempo,0.03443,0.052,0.5079,,,
300,total,con_efectos_fijos,yes,Tratamiento x Tiempo,0.03443,0.052,0.57282,,,
300,rate,sin_efectos_fijos,no,Intersección,7.91e-05,1.553e-06,0.0,***,,
300,rate,sin_efectos_fijos,no,Tratamiento,4.295e-07,2.19e-06,0.84451,,,
300,rate,sin_efectos_fijos,no,Tiempo,1.676e-05,2.414e-06,0.0,***,,
300,rate,sin_efectos_fijos,no,Tratamiento x Tiempo,2.358e-06,3.477e-06,0.49757,,,
300,rate,con_efectos_fijos,yes,Tratamiento x Tiempo,2.358e-06,3.477e-06,0.58258,,,
400,total,sin_efectos_fijos,no,Intersección,1.631,0.02969,0.0,***,,
400,total,sin_efectos_fijos,no,Tratamiento,0.04935,0.04169,0.23652,,,
400,total,sin_efectos_fijos,no,Tiempo,0.1706,0.04431,0.00012,***,,
400,total,sin_efectos_fijos,no,Tratamiento x Tiempo,0.01526,0.06278,0.80796,,,
400,total,con_efectos_fijos,yes,Tratamiento x Tiempo,0.01526,0.06278,0.82774,,,
400,rate,sin_efectos_fijos,no,Intersección,0.0001022,1.856e-06,0.0,***,,
